@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-1.71,9.12,-3.16,9.81,-1.48,9.32,-2.86,10.05,-2.11,8.99,-3.40,9.67,0.02,0.00,0.01,0.00,0.63,0.33,0.54,0.38,0.00,0.01,0.01,0.08,0.12,0.08,0.04,0.21,-0.21,-0.05,-0.01,0.04,0.00,0.00,0.00,0.00,0.33,0.14,0.05,0.18,3273460,68081,1
-1.51,9.05,-3.43,9.80,-1.39,9.21,-3.01,9.98,-1.67,8.98,-3.84,9.69,0.01,0.00,0.01,0.00,0.28,0.23,0.82,0.29,0.00,0.02,-0.00,0.09,0.11,0.20,0.02,0.40,-0.09,-0.09,-0.02,0.02,0.00,0.00,0.00,0.01,0.20,0.29,0.04,0.38,3273460,68101,1
-1.51,9.14,-3.21,9.81,-1.35,9.24,-3.03,9.87,-1.64,9.04,-3.43,9.74,0.00,0.00,0.01,0.00,0.29,0.20,0.40,0.13,0.00,0.02,-0.01,0.08,0.10,0.34,0.01,0.36,-0.17,-0.08,-0.10,0.01,0.00,0.01,0.00,0.00,0.27,0.42,0.11,0.35,3273460,68122,1
-1.18,9.11,-3.46,9.82,-0.66,9.42,-2.84,9.98,-1.35,8.95,-4.06,9.69,0.03,0.01,0.06,0.00,0.69,0.46,1.22,0.30,0.01,-0.00,-0.00,0.16,0.14,0.69,0.04,0.70,-0.14,-0.27,-0.04,0.05,0.00,0.03,0.00,0.01,0.29,0.96,0.07,0.65,3273460,68142,1
-1.32,9.27,-2.85,9.79,-0.99,9.41,-2.59,9.92,-2.34,8.87,-3.30,9.59,0.07,0.01,0.02,0.00,1.35,0.54,0.71,0.33,-0.02,-0.01,0.02,0.12,0.08,0.24,0.21,0.37,-0.21,-0.27,-0.05,0.03,0.00,0.01,0.00,0.01,0.30,0.51,0.26,0.34,3273460,68163,1
-1.19,9.10,-3.43,9.81,-0.67,9.37,-2.74,10.06,-1.82,8.77,-4.26,9.46,0.06,0.02,0.13,0.01,1.14,0.60,1.52,0.60,-0.02,0.00,0.00,0.22,0.20,0.30,0.14,0.54,-0.28,-0.28,-0.29,0.06,0.01,0.01,0.00,0.01,0.48,0.58,0.43,0.48,3273460,68183,1
-1.27,9.14,-3.35,9.83,-0.87,9.54,-2.58,10.16,-2.20,8.81,-3.81,9.68,0.05,0.01,0.07,0.01,1.33,0.73,1.23,0.48,0.00,-0.00,0.00,0.26,0.29,0.48,0.22,0.85,-0.25,-0.74,-0.09,0.06,0.01,0.03,0.00,0.03,0.54,1.22,0.32,0.79,3273460,68204,1
-1.16,9.43,-2.37,9.81,-1.03,9.62,-1.64,10.01,-1.48,9.17,-3.21,9.62,0.01,0.01,0.18,0.00,0.45,0.44,1.57,0.39,-0.00,-0.01,-0.01,0.13,0.15,0.27,0.02,0.38,-0.29,-0.36,-0.05,0.03,0.01,0.01,0.00,0.01,0.45,0.62,0.07,0.35,3273460,68224,1
-1.00,9.35,-2.77,9.81,-0.86,9.45,-2.47,9.96,-1.16,9.21,-3.14,9.73,0.00,0.00,0.01,0.00,0.31,0.23,0.68,0.23,-0.01,-0.01,-0.00,0.11,0.18,0.22,0.07,0.33,-0.11,-0.19,-0.05,0.03,0.00,0.00,0.00,0.00,0.29,0.41,0.11,0.30,3273460,68245,1
-2.00,6.28,5.51,10.31,10.71,13.04,17.56,19.27,-7.67,1.11,-5.28,5.20,7.68,8.34,18.73,3.32,18.37,11.92,22.85,14.08,-0.32,-0.08,0.18,1.54,2.89,4.47,2.50,7.38,-5.38,-5.12,-2.89,0.26,1.19,2.01,0.68,1.77,8.27,9.60,5.39,7.12,3273460,68265,1
