@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
0.07,0.11,9.62,9.84,5.26,2.66,17.74,17.76,-3.14,-3.03,4.59,4.84,2.52,1.62,8.36,8.42,8.40,5.68,13.15,12.93,-0.04,-0.06,-0.21,1.00,1.41,0.59,1.24,2.27,-1.52,-0.67,-2.05,0.26,0.20,0.09,0.61,0.17,2.93,1.26,3.30,2.01,3273460,36443,1
-0.20,2.11,9.34,9.85,2.04,6.64,13.40,13.44,-2.39,-1.18,6.56,6.72,1.09,3.75,1.93,1.65,4.43,7.82,6.85,6.72,-0.05,0.05,0.01,0.69,0.68,0.68,1.02,1.33,-1.05,-0.54,-0.83,0.10,0.12,0.09,0.24,0.06,1.73,1.22,1.85,1.23,3273460,36550,1
0.31,6.47,7.30,9.76,0.62,6.75,7.61,9.94,0.12,6.37,6.95,9.58,0.01,0.01,0.01,0.00,0.49,0.38,0.65,0.36,0.00,0.00,-0.00,0.05,0.60,0.20,0.08,0.75,-0.04,-0.08,-0.41,0.01,0.01,0.00,0.00,0.01,0.64,0.28,0.49,0.74,3273460,36570,1
-0.94,5.14,8.18,9.79,6.31,8.43,10.84,13.95,-3.74,3.20,6.37,8.53,0.95,0.36,0.24,0.26,10.05,5.23,4.47,5.42,-0.01,0.02,0.02,0.39,0.37,0.56,2.31,2.38,-0.90,-1.25,-1.61,0.02,0.04,0.06,0.28,0.33,1.27,1.81,3.92,2.36,3273460,36591,1
0.39,7.88,4.56,9.83,6.08,11.05,10.91,12.79,-3.06,4.16,-0.83,6.95,2.63,3.18,8.32,0.84,9.14,6.89,11.74,5.84,0.20,0.03,-0.08,0.64,1.50,0.77,0.85,1.82,-0.46,-0.67,-1.79,0.02,0.17,0.06,0.24,0.20,1.96,1.44,2.64,1.80,3273460,36611,1
7.18,4.21,0.95,9.83,11.92,8.85,10.73,13.07,-0.17,2.47,-4.20,7.84,6.12,1.99,18.82,0.71,12.09,6.38,14.93,5.23,0.03,-0.33,0.05,0.70,1.07,0.50,1.46,2.20,-0.86,-1.58,-0.89,0.08,0.13,0.32,0.14,0.29,1.93,2.08,2.35,2.12,3273460,36632,1
-0.91,4.43,8.50,9.82,2.58,7.23,10.69,11.38,-5.27,1.67,4.63,8.30,1.47,1.25,0.95,0.24,7.86,5.56,6.06,3.08,-0.04,-0.01,-0.03,0.63,1.35,1.73,0.56,1.96,-1.02,-1.65,-0.49,0.04,0.24,0.23,0.05,0.25,2.37,3.38,1.05,1.93,3273460,36652,1
-0.40,5.54,8.02,9.80,0.53,6.79,9.22,10.71,-1.43,4.66,6.45,8.79,0.14,0.16,0.33,0.11,1.97,2.13,2.76,1.91,0.00,0.01,0.00,0.27,0.46,0.56,0.13,0.60,-0.48,-0.38,-0.07,0.04,0.03,0.03,0.00,0.02,0.94,0.94,0.20,0.57,3273460,36672,1
1.29,3.86,8.88,9.77,1.59,4.47,9.24,10.11,1.02,3.52,8.42,9.43,0.01,0.06,0.03,0.01,0.57,0.95,0.82,0.68,-0.02,0.01,0.01,0.05,0.06,0.09,0.06,0.12,-0.10,-0.03,-0.02,0.01,0.00,0.00,0.00,0.00,0.16,0.12,0.08,0.11,3273460,36713,1
-1.47,5.05,8.20,9.76,-0.77,5.67,9.18,10.59,-2.45,3.98,7.14,8.98,0.09,0.10,0.16,0.08,1.68,1.69,2.04,1.60,0.01,0.01,-0.01,0.20,0.21,0.36,0.14,0.53,-0.30,-0.27,-0.39,0.05,0.01,0.02,0.01,0.01,0.51,0.63,0.53,0.49,3273460,36734,1
