@RELATION autenticacionContinuaVectores
@ATTRIBUTE mediaAcelerometroX real
@ATTRIBUTE mediaAcelerometroY real
@ATTRIBUTE mediaAcelerometroZ real
@ATTRIBUTE mediaAcelerometroMag real
@ATTRIBUTE maximoAcelerometroX real
@ATTRIBUTE maximoAcelerometroY real
@ATTRIBUTE maximoAcelerometroZ real
@ATTRIBUTE maximoAcelerometroMag real
@ATTRIBUTE minimoAcelerometroX real
@ATTRIBUTE minimoAcelerometroY real
@ATTRIBUTE minimoAcelerometroZ real
@ATTRIBUTE minimoAcelerometroMag real
@ATTRIBUTE varianzaAcelerometroX real
@ATTRIBUTE varianzaAcelerometroY real
@ATTRIBUTE varianzaAcelerometroZ real
@ATTRIBUTE varianzaAcelerometroMag real
@ATTRIBUTE picoApicoAcelerometroX real
@ATTRIBUTE picoApicoAcelerometroY real
@ATTRIBUTE picoApicoAcelerometroZ real
@ATTRIBUTE picoApicoAcelerometroMag real
@ATTRIBUTE mediaGiroscopioX real
@ATTRIBUTE mediaGiroscopioY real
@ATTRIBUTE mediaGiroscopioZ real
@ATTRIBUTE mediaGiroscopioMag real
@ATTRIBUTE maximoGiroscopioX real
@ATTRIBUTE maximoGiroscopioY real
@ATTRIBUTE maximoGiroscopioZ real
@ATTRIBUTE maximoGiroscopioMag real
@ATTRIBUTE minimoGiroscopioX real
@ATTRIBUTE minimoGiroscopioY real
@ATTRIBUTE minimoGiroscopioZ real
@ATTRIBUTE minimoGiroscopioMag real
@ATTRIBUTE varianzaGiroscopioX real
@ATTRIBUTE varianzaGiroscopioY real
@ATTRIBUTE varianzaGiroscopioZ real
@ATTRIBUTE varianzaGiroscopioMag real
@ATTRIBUTE picoApicoGiroscopioX real
@ATTRIBUTE picoApicoGiroscopioY real
@ATTRIBUTE picoApicoGiroscopioZ real
@ATTRIBUTE picoApicoGiroscopioMag real
@ATTRIBUTE diaSemana integer
@ATTRIBUTE horaActual integer
@ATTRIBUTE usuario {-1,1}
@DATA 
-0.00,9.08,3.67,9.80,0.04,9.15,3.82,9.86,-0.05,9.01,3.51,9.67,0.00,0.00,0.00,0.00,0.10,0.14,0.31,0.19,0.00,-0.00,0.00,0.03,0.04,0.00,0.00,0.06,-0.04,-0.00,-0.00,0.01,0.00,0.00,0.00,0.00,0.08,0.01,0.01,0.06,3619420,57290,1
0.02,9.13,3.52,9.79,0.07,9.19,3.60,9.85,-0.01,9.10,3.43,9.76,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.09,-0.00,-0.00,0.00,0.01,0.03,0.00,0.00,0.03,-0.02,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.01,0.03,3619420,57310,1
0.02,9.13,3.53,9.79,0.05,9.17,3.62,9.84,-0.01,9.06,3.24,9.62,0.00,0.00,0.00,0.00,0.06,0.11,0.39,0.21,-0.00,-0.00,0.00,0.01,0.02,0.00,0.00,0.05,-0.03,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.01,0.05,3619420,57331,1
0.02,9.13,3.53,9.79,0.11,9.18,3.67,9.86,-0.03,9.09,3.36,9.73,0.00,0.00,0.00,0.00,0.14,0.10,0.31,0.13,-0.00,-0.00,0.00,0.03,0.04,0.00,0.01,0.08,-0.04,-0.00,-0.00,0.01,0.00,0.00,0.00,0.00,0.08,0.01,0.01,0.07,3619420,57351,1
0.03,9.14,3.51,9.79,0.27,9.37,3.94,10.17,-0.02,9.03,3.26,9.64,0.00,0.00,0.01,0.00,0.30,0.35,0.68,0.53,-0.00,-0.00,0.00,0.03,0.07,0.01,0.02,0.12,-0.09,-0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.16,0.02,0.05,0.11,3619420,57372,1
-0.92,9.58,-1.50,9.82,0.47,9.93,-0.09,10.07,-1.71,8.20,-5.10,9.55,0.24,0.10,0.97,0.01,2.18,1.73,5.01,0.53,-0.01,-0.03,-0.01,0.24,0.68,0.25,0.21,0.86,-0.82,-0.31,-0.29,0.05,0.06,0.01,0.01,0.04,1.50,0.56,0.50,0.81,3619420,57392,1
-1.17,9.72,-0.71,9.81,-1.07,9.76,-0.54,9.85,-1.40,9.65,-0.83,9.77,0.00,0.00,0.00,0.00,0.33,0.11,0.29,0.08,0.00,-0.00,0.00,0.02,0.04,0.01,0.04,0.07,-0.02,-0.02,-0.02,0.01,0.00,0.00,0.00,0.00,0.06,0.04,0.06,0.06,3619420,57413,1
-1.41,9.69,-0.31,9.81,-0.32,9.90,0.13,9.97,-1.88,9.52,-0.94,9.60,0.11,0.00,0.05,0.00,1.56,0.38,1.07,0.37,-0.00,0.02,0.01,0.08,0.13,0.22,0.17,0.35,-0.15,-0.33,-0.13,0.01,0.00,0.01,0.00,0.01,0.28,0.54,0.30,0.34,3619420,57433,1
-1.03,9.64,-1.55,9.82,-0.93,9.80,-1.05,9.90,-1.46,9.49,-1.85,9.77,0.01,0.00,0.02,0.00,0.53,0.30,0.80,0.13,0.00,-0.00,0.00,0.04,0.06,0.04,0.06,0.19,-0.18,-0.06,-0.03,0.02,0.00,0.00,0.00,0.00,0.24,0.11,0.09,0.18,3619420,57454,1
-1.38,9.64,-1.18,9.82,-0.84,9.78,-0.81,9.89,-1.77,9.51,-1.65,9.72,0.02,0.00,0.01,0.00,0.93,0.27,0.83,0.17,0.00,0.00,-0.00,0.05,0.06,0.09,0.08,0.19,-0.06,-0.07,-0.09,0.01,0.00,0.00,0.00,0.00,0.13,0.16,0.18,0.18,3619420,57474,1
-1.43,9.66,-0.88,9.81,-0.81,9.94,-0.06,10.04,-1.84,9.33,-1.63,9.60,0.02,0.01,0.05,0.00,1.03,0.60,1.57,0.44,0.00,0.01,-0.00,0.09,0.24,0.19,0.16,0.31,-0.11,-0.16,-0.17,0.02,0.00,0.00,0.00,0.01,0.35,0.35,0.33,0.29,3619420,57495,1
-1.41,9.65,-0.88,9.81,-0.99,10.03,-0.14,10.14,-2.03,9.36,-1.74,9.53,0.05,0.01,0.12,0.01,1.04,0.68,1.60,0.61,0.02,0.02,0.00,0.17,0.20,0.22,0.15,0.39,-0.19,-0.21,-0.15,0.06,0.01,0.01,0.00,0.01,0.39,0.42,0.30,0.33,3619420,57515,1
-1.66,9.40,-1.88,9.77,-0.80,9.88,-0.95,10.00,-2.76,5.99,-5.46,8.53,0.12,0.26,0.40,0.04,1.96,3.89,4.50,1.47,0.17,-0.15,0.10,0.33,3.34,0.06,2.37,4.63,-0.09,-2.48,-0.11,0.02,0.37,0.27,0.16,0.76,3.44,2.54,2.48,4.61,3619420,57536,1
-1.85,9.56,-1.12,9.81,-1.18,9.92,-0.63,10.03,-2.34,9.26,-1.55,9.64,0.04,0.01,0.03,0.00,1.16,0.65,0.92,0.39,0.00,0.00,-0.00,0.08,0.09,0.19,0.14,0.27,-0.09,-0.14,-0.18,0.03,0.00,0.00,0.00,0.00,0.18,0.32,0.32,0.24,3619420,57556,1
-1.15,9.67,-1.14,9.81,-0.86,9.85,-0.69,9.94,-1.47,9.56,-1.51,9.73,0.02,0.00,0.02,0.00,0.60,0.29,0.82,0.21,-0.00,0.00,-0.00,0.06,0.09,0.06,0.04,0.16,-0.12,-0.06,-0.07,0.01,0.00,0.00,0.00,0.00,0.22,0.11,0.12,0.15,3619420,57577,1
-1.25,9.68,-0.88,9.81,-0.99,9.84,-0.42,9.93,-1.59,9.56,-1.17,9.71,0.01,0.00,0.02,0.00,0.60,0.28,0.75,0.22,0.00,0.00,-0.01,0.06,0.10,0.04,0.07,0.17,-0.07,-0.08,-0.08,0.01,0.00,0.00,0.00,0.00,0.16,0.12,0.15,0.15,3619420,57597,1
-0.93,9.73,-0.61,9.80,-0.50,9.87,-0.12,9.92,-1.93,9.46,-0.90,9.66,0.03,0.00,0.01,0.00,1.43,0.42,0.78,0.26,0.01,0.00,-0.00,0.07,0.13,0.15,0.04,0.32,-0.09,-0.23,-0.17,0.01,0.00,0.00,0.00,0.00,0.22,0.38,0.21,0.30,3619420,57618,1
-0.90,9.74,-0.52,9.80,-0.51,9.91,0.12,9.95,-1.13,9.61,-0.92,9.67,0.01,0.00,0.03,0.00,0.63,0.30,1.04,0.28,-0.00,-0.00,-0.00,0.06,0.09,0.09,0.05,0.19,-0.14,-0.12,-0.06,0.02,0.00,0.00,0.00,0.00,0.23,0.21,0.10,0.17,3619420,57638,1
-1.17,9.71,-0.59,9.80,-0.82,9.79,-0.17,9.85,-1.32,9.63,-0.89,9.74,0.01,0.00,0.01,0.00,0.50,0.16,0.72,0.11,-0.00,-0.00,0.00,0.03,0.04,0.04,0.06,0.13,-0.08,-0.07,-0.04,0.01,0.00,0.00,0.00,0.00,0.12,0.12,0.09,0.12,3619420,57659,1
-1.30,9.70,-0.43,9.80,-1.05,9.93,0.31,10.02,-1.83,9.39,-0.92,9.60,0.02,0.01,0.04,0.00,0.77,0.54,1.23,0.42,0.00,0.01,-0.00,0.08,0.11,0.07,0.05,0.47,-0.46,-0.08,-0.10,0.03,0.00,0.00,0.00,0.00,0.57,0.15,0.15,0.44,3619420,57679,1
-1.03,9.71,-0.85,9.81,-0.80,9.82,-0.42,9.89,-1.18,9.63,-1.12,9.75,0.01,0.00,0.01,0.00,0.38,0.19,0.70,0.15,0.00,0.00,0.00,0.04,0.04,0.04,0.04,0.11,-0.10,-0.06,-0.04,0.01,0.00,0.00,0.00,0.00,0.14,0.11,0.08,0.10,3619420,57700,1
-1.15,9.66,-1.25,9.81,-0.96,9.75,-0.93,9.86,-1.30,9.60,-1.43,9.77,0.01,0.00,0.01,0.00,0.33,0.15,0.50,0.10,-0.00,0.00,0.00,0.04,0.04,0.03,0.04,0.07,-0.03,-0.03,-0.03,0.01,0.00,0.00,0.00,0.00,0.07,0.06,0.07,0.05,3619420,57720,1
-1.03,9.71,-0.83,9.80,-0.89,9.78,-0.57,9.87,-1.21,9.60,-1.04,9.68,0.00,0.00,0.01,0.00,0.32,0.18,0.47,0.20,0.00,0.00,-0.00,0.05,0.05,0.03,0.02,0.08,-0.07,-0.02,-0.03,0.02,0.00,0.00,0.00,0.00,0.12,0.05,0.05,0.06,3619420,57741,1
-1.13,9.71,-0.80,9.81,-0.99,9.84,-0.59,9.99,-1.27,9.63,-1.26,9.71,0.00,0.00,0.01,0.00,0.28,0.22,0.67,0.28,0.00,0.00,0.00,0.05,0.04,0.05,0.02,0.07,-0.06,-0.04,-0.02,0.02,0.00,0.00,0.00,0.00,0.10,0.09,0.05,0.05,3619420,57761,1
-1.03,9.71,-0.92,9.81,-0.89,9.76,-0.49,9.84,-1.15,9.64,-1.15,9.71,0.00,0.00,0.01,0.00,0.26,0.11,0.66,0.13,0.00,0.00,-0.00,0.03,0.03,0.04,0.02,0.05,-0.03,-0.02,-0.02,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.04,0.04,3619420,57782,1
